Periodo	EPU	Elástico	ED(Q=1.0)	ED(Q=1.5)	ED(Q=2)	ED(Q=3)	ED(Q=4)
2.700	615.4	1031.8	737.0	326.1	209.4	106.8	75.3
2.750	571.9	964.4	688.9	307.4	197.9	101.1	71.4
2.800	528.4	902.7	644.8	290.2	187.2	95.8	67.7
2.850	500.4	846.1	604.3	274.2	177.3	90.9	64.3
2.900	474.1	794.0	567.2	259.3	168.1	86.3	61.1
2.950	448.7	746.1	533.0	245.5	159.5	82.1	58.1
3.000	423.9	702.0	501.4	232.7	151.5	78.1	55.3
3.050	397.5	661.2	472.3	220.8	144.0	74.4	52.7
3.100	372.8	623.5	445.4	209.6	137.1	70.9	50.3
3.150	349.6	588.6	420.4	199.2	130.5	67.6	48.0
3.200	329.4	556.3	397.3	189.5	124.4	64.5	45.9
3.250	307.9	526.2	375.9	180.4	118.7	61.7	43.9
3.300	287.7	498.3	355.9	171.9	113.3	59.0	42.0
3.350	268.7	472.4	337.4	164.0	108.3	56.4	40.2
3.400	250.6	448.2	320.1	156.5	103.5	54.0	38.5
3.450	235.1	425.6	304.0	149.5	99.1	51.8	36.9
3.500	220.4	404.6	289.0	142.9	94.9	49.7	35.4
3.550	206.4	384.9	274.9	136.6	90.9	47.7	34.0
3.600	193.9	366.5	261.8	130.8	87.2	45.8	32.7
3.650	185.4	349.2	249.4	125.3	83.6	44.0	31.4
3.700	177.8	333.0	237.9	120.1	80.3	42.3	30.2
3.750	171.4	317.8	227.0	115.2	77.2	40.7	29.1
3.800	165.1	303.6	216.8	110.5	74.2	39.1	28.0
3.850	160.3	290.2	207.3	106.1	71.3	37.7	27.0
3.900	155.4	277.6	198.3	102.0	68.7	36.3	26.0
3.950	150.3	265.7	189.8	98.1	66.1	35.0	25.1
4.000	145.2	254.5	181.8	94.3	63.7	33.8	24.2
4.050	139.2	243.9	174.2	90.8	61.4	32.6	23.4
4.100	133.4	234.0	167.1	87.4	59.2	31.5	22.6
4.150	128.3	224.5	160.4	84.3	57.1	30.4	21.9
4.200	123.7	215.6	154.0	81.2	55.2	29.4	21.1
4.250	121.1	207.2	148.0	78.3	53.3	28.4	20.4
4.300	118.8	199.2	142.3	75.6	51.5	27.5	19.8
4.350	116.4	191.6	136.9	73.0	49.8	26.6	19.2
4.400	114.1	184.4	131.7	70.5	48.1	25.8	18.6
4.450	111.1	177.6	126.9	68.2	46.6	25.0	18.0
4.500	108.6	171.2	122.3	65.9	45.1	24.2	17.4
4.550	106.3	165.0	117.9	63.7	43.7	23.5	16.9
4.600	104.0	159.2	113.7	61.7	42.3	22.7	16.4
4.650	103.0	153.6	109.7	59.7	41.0	22.1	15.9
4.700	102.1	148.3	105.9	57.8	39.8	21.4	15.5
4.750	101.1	143.2	102.3	56.0	38.6	20.8	15.0
4.800	100.1	138.4	98.9	54.3	37.4	20.2	14.6
4.850	99.5	133.8	95.6	52.7	36.3	19.6	14.2
4.900	98.8	129.5	92.5	51.1	35.3	19.1	13.8
4.950	98.1	125.3	89.5	49.6	34.3	18.6	13.4
5.000	97.4	121.3	86.6	48.1	33.3	18.0	13.1
